code,area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
E09000001,City of London,"8,000","8,000","7,000","7,000","11,000","12,000","15,000","15,000","18,000","20,000","25,000","25,000","26,000","29,000"
E09000002,Barking and Dagenham,"5,000","6,000","6,000","6,000","6,000","7,000","7,000","8,000","9,000","11,000","11,000","13,000","13,000","13,000"
E09000003,Barnet,"13,000","13,000","14,000","13,000","13,000","16,000","16,000","19,000","17,000","22,000","26,000","24,000","26,000","33,000"
E09000004,Bexley,"10,000","9,000","12,000","15,000","12,000","14,000","17,000","19,000","25,000","21,000","23,000","22,000","21,000","24,000"
E09000005,Brent,"14,000","12,000","12,000","14,000","13,000","19,000","23,000","21,000","21,000","23,000","29,000","33,000","34,000","35,000"
E09000006,Bromley,"23,000","17,000","23,000","21,000","17,000","22,000","22,000","21,000","21,000","24,000","22,000","27,000","27,000","29,000"
E09000007,Camden,"14,000","14,000","18,000","16,000","19,000","19,000","24,000","26,000","29,000","34,000","37,000","40,000","42,000","40,000"
E09000008,Croydon,"22,000","16,000","20,000","19,000","20,000","16,000","23,000","21,000","22,000","23,000","26,000","22,000","24,000","29,000"
E09000009,Ealing,"15,000","14,000","17,000","17,000","18,000","16,000","20,000","24,000","27,000","29,000","27,000","37,000","31,000","31,000"
E09000010,Enfield,"14,000","14,000","13,000","15,000","14,000","16,000","18,000","18,000","22,000","26,000","29,000","24,000","25,000","29,000"
E09000011,Greenwich,"9,000","8,000","7,000","9,000","10,000","8,000","10,000","11,000","12,000","14,000","18,000","18,000","18,000","17,000"
E09000012,Hackney,"6,000","5,000","8,000","6,000","8,000","7,000","9,000","10,000","14,000","13,000","18,000","16,000","19,000","19,000"
E09000013,Hammersmith and Fulham,"10,000","10,000","10,000","8,000","9,000","12,000","13,000","17,000","17,000","20,000","21,000","17,000","18,000","23,000"
E09000014,Haringey,"7,000","8,000","7,000","9,000","10,000","11,000","11,000","10,000","10,000","12,000","17,000","16,000","17,000","16,000"
E09000015,Harrow,"14,000","13,000","12,000","16,000","12,000","14,000","19,000","18,000","22,000","27,000","24,000","15,000","14,000","20,000"
E09000016,Havering,"15,000","14,000","13,000","13,000","12,000","12,000","13,000","15,000","17,000","16,000","20,000","17,000","20,000","25,000"
E09000017,Hillingdon,"22,000","28,000","19,000","23,000","18,000","21,000","27,000","28,000","27,000","36,000","28,000","32,000","35,000","39,000"
E09000018,Hounslow,"18,000","16,000","15,000","19,000","14,000","15,000","17,000","21,000","27,000","24,000","26,000","27,000","31,000","29,000"
E09000019,Islington,"10,000","8,000","14,000","11,000","11,000","14,000","13,000","17,000","18,000","30,000","26,000","25,000","20,000","26,000"
E09000020,Kensington and Chelsea,"13,000","11,000","14,000","12,000","12,000","11,000","14,000","15,000","15,000","19,000","18,000","25,000","18,000","20,000"
E09000021,Kingston upon Thames,"15,000","10,000","11,000","16,000","14,000","10,000","15,000","14,000","17,000","18,000","22,000","23,000","26,000","23,000"
E09000022,Lambeth,"17,000","11,000","14,000","11,000","11,000","10,000","16,000","16,000","19,000","20,000","21,000","21,000","24,000","28,000"
E09000023,Lewisham,"8,000","9,000","8,000","9,000","7,000","9,000","9,000","10,000","10,000","12,000","11,000","11,000","15,000","14,000"
E09000024,Merton,"9,000","12,000","12,000","15,000","13,000","11,000","10,000","9,000","15,000","14,000","19,000","18,000","21,000","23,000"
E09000025,Newham,"7,000","8,000","11,000","9,000","11,000","11,000","13,000","19,000","19,000","22,000","23,000","22,000","25,000","23,000"
E09000026,Redbridge,"12,000","9,000","11,000","11,000","8,000","10,000","11,000","13,000","15,000","14,000","13,000","16,000","19,000","18,000"
E09000027,Richmond upon Thames,"9,000","8,000","11,000","9,000","7,000","7,000","8,000","13,000","12,000","14,000","14,000","13,000","13,000","15,000"
E09000028,Southwark,"12,000","12,000","17,000","21,000","20,000","17,000","19,000","20,000","23,000","23,000","27,000","23,000","30,000","30,000"
E09000029,Sutton,"12,000","7,000","10,000","14,000","18,000","17,000","18,000","21,000","12,000","27,000","24,000","26,000","25,000","29,000"
E09000030,Tower Hamlets,"10,000","12,000","12,000","9,000","10,000","11,000","13,000","18,000","18,000","22,000","22,000","26,000","25,000","29,000"
E09000031,Waltham Forest,"11,000","9,000","10,000","11,000","10,000","10,000","10,000","13,000","16,000","17,000","21,000","20,000","17,000","18,000"
E09000032,Wandsworth,"13,000","13,000","13,000","14,000","15,000","14,000","13,000","20,000","22,000","25,000","21,000","21,000","20,000","23,000"
E09000033,Westminster,"47,000","40,000","44,000","51,000","52,000","53,000","55,000","71,000","82,000","83,000","90,000","87,000","73,000","76,000"